"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-113.21","51.77","THREE HILLS","3026479","2021-07-01 00:00","2021","07","01","00:00","17.3","","9.3","","59","","0.0","","13","","19","","","","","","","","","","NA"
"-113.21","51.77","THREE HILLS","3026479","2021-07-01 01:00","2021","07","01","01:00","17.0","","8.8","","59","","0.0","","13","","21","","","","","","","","","","NA"
"-113.21","51.77","THREE HILLS","3026479","2021-07-01 02:00","2021","07","01","02:00","18.5","","8.5","","52","","0.0","","14","","19","","","","","","","","","","NA"
"-113.21","51.77","THREE HILLS","3026479","2021-07-01 03:00","2021","07","01","03:00","14.1","","8.5","","69","","0.0","","15","","14","","","","","","","","","","NA"
"-113.21","51.77","THREE HILLS","3026479","2021-07-01 04:00","2021","07","01","04:00","14.5","","8.7","","68","","0.0","","15","","17","","","","","","","","","","NA"
"-113.21","51.77","THREE HILLS","3026479","2021-07-01 05:00","2021","07","01","05:00","15.8","","8.8","","63","","0.0","","14","","19","","","","","","","","","","NA"
"-113.21","51.77","THREE HILLS","3026479","2021-07-01 06:00","2021","07","01","06:00","16.7","","10.2","","65","","0.0","","13","","17","","","","","","","","","","NA"
"-113.21","51.77","THREE HILLS","3026479","2021-07-01 07:00","2021","07","01","07:00","20.0","","11.7","","59","","0.0","","13","","20","","","","","","","","","","NA"
"-113.21","51.77","THREE HILLS","3026479","2021-07-01 08:00","2021","07","01","08:00","23.2","","12.8","","52","","0.0","","13","","20","","","","","","26","","","","NA"
"-113.21","51.77","THREE HILLS","3026479","2021-07-01 09:00","2021","07","01","09:00","26.2","","14.5","","48","","0.0","","12","","21","","","","","","30","","","","NA"
